"bitter","bittersweet","mild","smoky","rich","sweet","sour","salty","spicy","juicy","fruity","oily","crunchy","dry","wet","creamy","plain","soft","hard","taste"
76,26,19,71,14,87,36,78,2,50,18,98,8,82,45,18,2,44,62,0
37,64,65,16,5,82,97,60,76,50,47,53,53,52,37,91,78,49,88,0
26,74,29,56,27,82,100,73,44,28,76,66,1,30,76,92,74,1,22,1
1,45,18,59,80,26,87,48,40,26,74,89,12,50,58,98,4,17,83,1
92,25,56,33,17,91,69,87,100,4,25,42,69,26,98,34,95,22,94,1
78,64,61,3,57,5,59,30,40,42,74,43,9,1,12,60,74,28,47,0
4,56,51,17,1,22,93,30,56,63,36,80,50,82,71,35,94,23,74,0
93,61,30,65,95,94,54,78,43,96,2,2,74,58,59,94,73,94,19,0
29,86,6,62,95,75,85,100,27,73,34,84,32,78,73,99,90,56,100,1
33,26,15,68,49,95,3,35,33,52,28,73,81,48,13,62,45,65,77,0
8,26,9,47,43,64,13,80,98,100,37,44,64,78,89,2,27,58,10,0
56,4,42,68,11,6,53,81,45,32,13,99,27,29,79,91,89,44,73,1
79,13,66,1,68,93,96,45,31,62,87,71,56,74,24,67,68,34,70,0
96,36,68,38,69,90,98,53,69,2,47,76,33,96,22,98,56,58,6,1
76,50,93,99,48,33,80,34,65,61,96,27,61,4,24,82,90,55,43,1
2,84,90,56,37,15,58,100,56,83,48,97,28,46,2,59,50,31,17,1
75,4,61,78,55,26,33,97,12,20,3,38,30,24,45,53,74,53,13,0
70,6,78,3,21,75,32,57,58,88,95,41,54,74,58,60,72,100,19,1
92,24,77,29,32,67,60,65,17,41,8,32,51,37,56,42,69,56,46,0
69,56,59,63,81,97,79,61,9,72,84,41,88,34,35,88,88,79,24,1
4,5,88,39,48,56,15,72,19,46,43,61,54,90,25,8,37,23,51,1
41,63,21,71,58,83,60,27,68,9,3,77,56,1,82,69,2,80,34,0
9,1,34,98,12,86,71,100,77,92,97,9,8,74,44,79,45,86,90,1
64,67,39,92,16,96,99,94,77,30,27,19,72,87,27,95,54,37,35,1
7,28,70,15,95,6,40,54,24,70,65,60,62,57,26,27,28,100,91,0
65,33,66,78,34,88,46,97,58,74,30,86,35,72,20,14,45,40,8,1
94,6,64,99,46,76,98,19,31,81,21,3,9,99,75,81,61,34,93,0
34,75,62,47,8,31,34,98,69,43,17,59,8,19,1,64,87,38,9,0
33,6,94,19,41,13,54,89,10,48,8,81,97,57,23,36,92,88,68,0
34,37,90,79,73,48,65,72,67,86,53,96,49,78,68,13,83,54,71,1
36,13,91,27,93,2,30,3,76,9,54,16,79,26,16,58,58,23,79,1
83,88,62,98,27,88,70,50,25,28,70,68,92,15,47,52,30,11,56,0
22,95,65,86,93,5,61,48,75,23,80,96,69,94,12,17,76,44,60,0
97,27,24,16,79,91,18,73,26,74,82,50,86,68,52,26,61,16,42,1
75,73,50,3,50,43,46,96,39,47,82,61,82,7,44,16,54,6,44,1
76,97,9,14,80,89,83,61,51,54,20,35,75,57,66,41,35,74,8,1
82,71,64,45,89,98,21,89,37,38,38,66,23,46,13,67,78,68,89,0
54,58,96,81,95,7,90,86,83,80,99,93,12,91,16,86,45,70,21,1
16,27,96,49,16,1,91,16,33,2,78,21,44,79,58,12,11,90,69,1
85,50,80,32,44,71,16,40,95,63,10,49,2,46,71,38,77,43,81,0
18,5,54,19,63,13,45,90,40,54,85,80,44,35,22,17,71,46,97,1
76,24,28,43,95,31,46,60,88,4,23,66,41,55,31,31,21,66,32,0
64,3,58,6,100,49,5,26,78,70,4,8,59,54,76,97,43,72,20,0
64,49,54,1,94,74,16,96,61,42,60,23,21,34,19,87,72,54,10,1
96,48,51,72,48,37,13,35,9,65,96,49,85,66,76,71,28,64,62,1
73,79,90,43,83,14,98,97,85,80,84,51,32,15,16,94,30,62,13,0
49,10,1,66,53,23,98,19,61,87,62,49,24,85,13,31,26,46,48,0
59,36,83,47,81,48,99,47,60,76,50,47,89,9,57,54,86,79,75,1
80,79,3,63,32,12,80,11,79,40,59,48,35,78,62,49,45,28,15,0
7,77,20,66,8,66,80,93,49,93,7,90,54,74,84,79,39,79,30,1
95,34,59,4,10,88,70,71,38,93,2,70,81,79,37,36,61,95,66,1
31,63,87,12,31,78,75,43,57,66,13,39,42,31,82,96,10,70,18,1
17,44,11,78,98,71,65,79,99,71,48,95,71,76,13,58,77,74,63,0
71,62,64,87,87,21,7,10,28,23,81,76,12,53,6,83,56,61,77,1
24,79,12,26,9,92,31,57,96,9,77,78,13,48,47,34,63,44,67,1
67,62,86,39,35,48,94,83,95,84,64,55,5,84,38,31,59,69,29,0
54,43,36,53,80,85,61,40,17,13,70,88,28,55,80,15,60,30,77,1
5,87,76,2,55,85,97,66,28,57,94,1,9,65,92,95,31,34,100,1
4,93,11,98,80,82,24,53,69,48,78,51,24,6,21,9,74,11,97,0
75,41,49,6,30,57,54,7,54,41,8,69,45,2,69,70,82,40,74,1
50,30,57,93,38,100,60,41,5,72,100,43,12,14,28,55,22,67,23,1
65,58,50,87,75,64,53,63,69,29,36,51,66,75,39,51,21,85,82,0
68,87,28,76,80,69,28,51,6,86,93,8,27,91,89,53,67,97,68,0
86,60,47,88,75,21,33,96,81,50,92,88,21,82,89,33,29,68,12,0
12,40,54,10,66,21,8,98,96,28,93,23,45,22,65,67,90,53,9,1
100,18,59,43,20,87,97,81,7,76,90,33,32,51,74,22,94,54,21,1
32,7,51,40,29,38,38,97,95,14,72,5,35,100,2,2,89,96,100,0
97,53,45,11,94,48,58,44,5,38,55,51,94,31,60,69,32,80,14,1
92,22,55,75,3,75,9,2,79,60,67,83,1,92,73,78,55,51,83,1
31,97,9,26,38,41,78,62,14,60,90,23,56,8,72,86,47,65,46,0
55,70,67,59,92,85,85,95,87,77,83,26,75,47,93,57,21,54,86,1
12,54,4,44,63,34,84,73,65,85,91,7,21,25,13,91,31,97,80,1
25,87,2,59,58,48,42,24,9,1,21,85,89,28,41,22,64,19,56,1
10,69,18,33,26,87,89,49,11,88,95,87,36,22,21,62,35,5,66,0
53,92,88,55,85,26,87,81,63,74,92,64,62,82,2,47,86,5,60,0
53,17,58,97,99,90,97,16,49,18,82,68,49,31,7,97,40,10,5,1
47,69,83,18,20,69,25,73,100,72,79,22,17,65,89,70,29,98,14,0
46,99,47,83,5,41,21,33,64,71,42,91,40,80,66,1,32,4,24,0
4,94,15,5,26,65,96,79,34,27,40,83,49,73,46,75,29,51,44,0
99,68,31,73,45,49,25,49,77,78,35,94,17,49,75,37,57,7,71,0
65,21,69,83,65,73,21,15,93,14,4,74,65,89,3,64,4,64,86,1
54,90,33,62,4,97,44,49,90,42,43,58,80,34,64,35,88,51,81,0
11,7,49,61,31,97,95,70,17,42,66,8,74,82,61,87,13,13,45,0
13,10,38,59,87,50,29,37,16,52,90,54,6,96,83,68,100,22,57,1
45,85,94,18,2,69,57,19,11,69,88,65,86,1,84,99,81,98,78,1
2,17,54,45,35,84,72,50,23,61,18,53,35,68,42,89,82,46,35,1
60,58,82,86,45,3,57,71,77,19,35,86,78,85,49,20,41,82,61,1
22,21,98,4,24,40,88,67,22,48,76,52,4,41,93,3,43,6,27,0
51,84,48,74,15,92,89,42,63,75,64,98,50,47,97,22,52,3,48,0
74,41,34,87,21,32,38,59,43,22,12,7,25,72,30,49,32,69,13,0
16,37,60,39,93,91,74,9,21,61,42,2,79,11,50,77,46,65,53,1
12,58,57,13,55,64,96,79,45,10,47,57,45,69,73,86,37,20,28,1
39,58,78,50,46,33,32,29,20,16,74,58,78,22,25,69,95,25,37,1
84,5,88,79,35,82,72,97,74,41,52,11,35,49,8,90,27,67,76,0
1,94,25,53,80,55,52,49,22,49,65,13,87,40,59,30,40,56,22,1
8,62,88,4,78,68,97,94,100,77,41,74,62,60,57,75,15,10,16,1
54,23,18,32,65,51,21,55,11,91,14,32,33,56,46,76,82,78,31,1
21,80,40,82,31,33,87,45,67,58,57,12,73,53,54,25,59,7,10,0
65,48,39,33,42,86,57,6,71,99,90,30,67,14,31,61,52,19,44,0
76,44,81,95,25,30,24,98,55,44,71,40,68,50,90,22,56,18,51,0
43,37,22,100,48,61,58,53,32,53,99,44,29,87,63,68,53,55,47,0
73,59,83,61,38,43,49,69,79,74,44,79,12,53,73,54,15,86,49,0
58,63,90,24,65,100,44,4,82,31,1,28,54,81,36,30,87,19,32,1
56,54,69,38,83,20,30,56,1,1,28,90,83,83,64,67,95,64,38,0
28,81,7,64,92,45,76,98,76,3,61,63,82,61,66,97,20,65,84,0
87,25,5,100,11,31,42,38,53,96,93,69,46,94,60,69,16,38,71,1
18,80,27,25,75,75,88,61,97,42,73,86,30,39,22,3,85,36,77,1
97,6,60,60,38,59,8,35,98,26,13,30,76,65,16,97,49,82,15,1
1,42,23,19,62,42,71,37,64,91,94,90,43,82,18,99,71,75,76,1
1,7,95,50,95,42,25,97,88,46,16,72,90,35,99,98,14,69,19,0
63,94,64,3,26,34,81,16,60,74,44,31,45,25,12,94,43,49,46,1
72,57,28,77,32,11,33,6,36,42,45,5,99,22,36,16,99,47,47,1
86,2,99,41,42,73,77,4,20,28,62,86,19,98,21,38,94,55,82,1
50,21,89,34,10,70,15,16,97,44,12,96,10,1,70,40,79,27,22,1
35,6,29,69,23,80,39,45,89,41,98,59,11,88,77,48,33,39,93,1
38,51,90,84,55,79,59,34,20,4,17,58,43,76,9,57,78,22,94,1
65,40,23,79,26,12,12,22,23,27,62,28,54,94,79,93,11,96,27,0
80,84,32,26,54,21,54,62,44,21,57,19,62,52,75,81,26,47,8,0
99,5,39,40,50,63,58,81,92,1,57,77,97,48,71,85,23,17,60,0
61,29,44,53,96,51,57,86,89,75,87,14,4,62,44,76,58,99,56,0
49,58,40,46,75,91,60,88,49,28,48,18,53,71,5,65,43,88,90,0
30,62,95,46,23,33,57,29,61,41,15,52,15,13,31,4,22,8,43,0
40,57,97,76,93,91,71,72,65,32,100,23,48,98,24,14,80,46,85,1
3,40,47,53,64,93,26,83,32,81,11,28,98,45,60,82,7,62,70,0
88,77,65,98,89,76,10,14,21,86,37,79,52,34,71,96,33,90,24,0
74,6,37,74,49,13,6,68,85,7,22,18,76,90,79,80,50,40,75,1
83,98,60,73,49,80,36,57,23,3,9,32,60,68,48,94,61,31,74,0
36,58,82,57,72,37,44,67,73,92,9,83,81,4,37,71,10,68,23,0
38,37,52,20,94,54,49,96,68,65,84,85,93,4,6,74,40,80,52,1
36,13,25,73,84,68,71,72,10,8,55,95,20,55,44,37,30,78,57,1
27,32,19,93,7,77,33,22,22,91,22,12,11,81,93,49,33,81,86,0
40,21,96,3,38,65,31,94,65,82,35,85,94,64,5,66,16,28,30,0
67,77,41,81,11,76,40,63,82,52,63,29,40,21,77,11,47,9,25,0
50,61,44,13,22,63,78,86,90,7,55,82,25,12,22,7,75,30,53,1
88,31,97,98,19,99,53,12,76,74,37,44,78,15,91,42,23,44,20,0
57,32,15,7,63,96,86,96,65,73,13,26,8,32,94,71,77,21,40,1
80,45,74,70,32,33,43,14,78,29,73,54,12,72,79,2,67,11,58,1
63,25,46,69,84,22,72,97,87,68,50,77,30,93,59,79,15,27,89,0
31,70,48,64,97,25,6,82,83,29,96,22,24,25,35,69,35,59,36,0
72,14,76,28,73,24,51,17,40,77,63,80,68,97,92,3,80,44,60,0
87,80,50,24,46,50,12,52,62,15,32,75,77,78,19,54,42,28,28,1
53,89,49,23,34,41,53,2,66,23,4,53,58,67,83,43,17,95,83,0
93,99,62,94,39,38,24,67,65,98,28,5,84,58,26,91,66,5,1,1
7,3,25,67,36,71,33,94,67,35,7,48,21,89,3,22,68,96,56,1
10,86,80,59,58,93,42,80,10,16,86,45,62,25,41,34,67,76,63,1
73,49,67,1,30,41,69,93,62,74,25,52,51,81,67,35,15,64,33,0
62,41,48,88,29,41,91,69,40,87,66,55,54,25,70,82,69,65,62,1
18,37,75,64,23,39,91,49,66,82,96,38,59,67,79,49,19,15,64,0
56,84,51,43,3,12,70,44,58,72,76,45,67,60,22,11,96,16,46,1
79,95,24,86,6,97,27,96,39,34,48,79,12,51,60,51,45,60,83,0
33,60,36,93,75,28,13,10,39,49,72,50,76,55,81,3,100,45,61,0
2,22,52,32,43,37,47,70,78,2,66,8,44,93,67,27,48,95,76,1
22,30,34,64,51,78,78,17,31,71,25,76,92,18,16,58,51,97,9,0
89,59,42,61,52,11,29,61,75,43,50,13,30,82,79,77,98,18,43,1
95,77,84,13,46,78,31,92,1,30,15,55,74,30,35,72,31,52,4,1
99,54,9,52,15,24,54,77,22,14,83,92,61,71,92,44,19,1,16,1
63,84,23,77,30,27,45,34,77,49,74,72,72,44,86,36,39,97,85,1
21,43,15,62,26,21,56,83,28,68,69,98,49,84,7,7,27,2,54,1
84,25,94,100,53,6,6,5,70,42,77,74,4,85,80,28,78,80,97,1
12,34,89,60,65,89,21,26,18,93,20,13,17,12,99,52,14,84,1,0
82,51,72,56,61,55,88,72,35,36,39,18,87,55,19,10,41,6,49,1
81,19,98,18,66,57,38,38,98,91,96,97,97,29,94,12,37,31,10,1
27,38,28,52,64,3,17,46,31,31,63,61,43,71,77,1,61,17,42,0
14,16,9,47,21,100,67,65,76,40,9,6,80,4,4,18,90,99,48,1
54,15,5,79,94,36,80,53,39,31,14,35,91,30,82,38,76,41,81,1
88,88,90,59,2,15,15,78,18,31,73,62,89,55,57,15,68,11,97,0
26,100,3,72,69,59,52,85,48,78,14,79,24,16,90,42,44,56,4,0
43,66,73,21,47,45,45,44,15,6,25,73,85,25,1,42,70,98,41,0
49,23,2,38,85,62,10,95,44,83,51,58,23,53,81,68,2,20,9,0
60,24,58,94,91,37,27,17,10,3,85,25,93,57,46,52,68,46,55,1
71,81,86,48,3,43,24,35,64,10,6,70,27,81,39,47,16,22,88,0
42,21,87,66,70,84,96,25,96,48,63,98,93,68,74,12,77,9,46,0
93,23,97,44,86,5,18,16,53,37,59,83,20,8,81,69,18,91,63,0
79,33,25,100,62,88,94,11,65,51,46,37,70,79,1,25,12,4,71,0
36,40,57,73,14,54,91,77,51,10,80,77,20,14,75,43,23,62,49,1
69,90,3,48,88,12,6,60,21,84,71,34,42,31,7,54,52,56,80,1
72,78,43,36,59,69,33,96,73,57,24,29,97,93,96,41,26,26,80,1
13,65,69,66,81,21,42,60,15,6,64,43,95,22,81,85,28,14,97,0
3,55,41,10,16,38,52,65,12,1,18,51,7,65,66,47,18,94,51,1
60,74,79,35,19,48,32,11,7,78,53,85,40,69,86,66,68,63,60,1
54,93,46,85,60,96,55,4,56,1,74,69,48,9,17,70,99,18,91,0
5,61,95,47,11,97,39,90,24,93,37,11,48,81,90,22,91,92,32,0
82,83,71,85,2,14,4,27,32,67,79,60,89,88,25,85,86,6,29,1
50,93,69,25,44,20,51,22,50,67,57,48,17,21,77,6,100,78,35,0
99,86,22,79,10,21,83,27,91,54,6,73,76,10,93,19,96,38,98,0
87,22,12,84,85,38,60,57,71,38,60,86,86,8,33,31,11,99,80,0
21,90,81,80,27,57,35,6,64,72,70,66,96,44,15,81,59,85,42,1
37,1,42,50,3,65,25,38,16,7,88,39,64,27,59,23,33,85,10,0
13,65,70,36,84,50,53,84,87,16,41,26,65,23,98,48,45,4,94,0
36,61,70,27,55,33,99,8,17,59,20,58,73,22,37,88,99,32,89,1
7,7,4,18,73,80,5,14,15,34,74,32,24,98,14,67,33,4,84,1
87,73,39,7,2,67,60,66,63,43,2,91,70,81,89,8,74,18,74,1
59,3,71,9,31,63,79,20,52,56,80,7,89,32,44,4,20,94,63,0
51,63,5,2,59,26,89,22,99,54,16,86,25,32,29,69,28,23,33,1
70,99,98,25,12,78,76,76,88,10,21,82,5,72,72,1,53,45,3,1
90,56,66,26,2,12,27,54,85,61,74,84,9,25,35,47,51,89,47,0
15,98,74,37,29,39,64,31,59,83,7,77,63,71,88,21,57,5,60,1
59,17,19,37,73,66,32,67,93,78,93,93,94,82,61,54,68,16,85,1
5,1,47,39,48,84,33,26,18,90,38,17,96,83,31,99,5,85,50,0
46,17,72,45,67,92,50,19,60,33,55,93,49,59,85,55,60,42,94,0
31,78,30,59,8,68,5,99,4,34,25,79,21,47,49,63,27,57,28,1
93,88,2,92,50,85,83,32,14,83,15,77,87,52,15,5,96,34,54,1
49,16,12,13,42,62,49,45,26,12,11,2,62,39,83,38,31,31,58,1
30,75,40,44,23,5,12,78,19,29,96,54,41,71,87,53,56,7,79,1
52,67,1,86,68,45,70,32,82,63,100,70,47,70,85,79,84,27,61,0
59,2,19,20,18,8,88,75,53,43,45,87,10,25,90,44,23,100,92,0
73,89,12,16,28,57,41,24,11,68,96,2,99,11,6,91,12,97,8,1
6,56,47,66,84,85,92,7,43,81,63,8,32,15,44,61,54,73,14,1
96,12,26,21,83,44,62,83,16,20,77,13,44,96,46,42,55,94,92,0
66,50,1,9,18,76,55,2,57,42,1,12,82,98,65,41,52,86,98,0
83,19,40,1,75,50,72,13,37,23,6,93,29,80,1,71,23,92,83,0
12,64,55,31,26,33,87,19,1,80,97,63,11,25,14,3,95,53,51,0
53,42,51,31,83,98,31,11,69,30,96,63,32,72,25,55,58,47,38,1
23,98,22,16,80,33,49,11,89,37,2,67,32,60,81,10,16,35,49,1
2,75,71,53,80,27,61,25,7,57,22,13,20,87,37,76,78,66,13,1
80,56,79,31,32,86,96,56,69,85,60,43,83,43,41,75,73,39,4,1
10,54,6,79,64,33,60,43,41,25,49,89,10,48,93,4,56,87,48,1
78,47,78,82,35,51,12,12,15,86,69,79,4,38,43,47,55,49,42,1
77,24,57,32,73,44,3,62,53,59,69,29,11,45,72,13,47,15,64,0
20,1,61,52,97,56,43,73,50,7,46,53,42,92,27,55,57,68,67,1
62,91,35,69,16,88,66,2,14,45,60,28,62,66,28,52,67,23,75,0
44,83,38,87,70,59,88,74,80,33,100,57,92,20,98,7,26,60,45,1
52,70,74,33,11,1,70,44,65,14,86,18,62,53,56,74,30,26,13,1
3,94,6,53,67,76,34,69,79,12,91,74,37,52,94,44,4,8,11,1
13,73,40,30,77,88,79,54,64,10,20,75,19,92,62,82,83,2,46,0
25,35,58,1,1,42,47,89,48,35,91,91,99,96,52,53,23,99,45,0
30,45,12,45,95,33,16,96,65,78,100,73,28,14,75,16,52,97,29,1
16,17,71,16,96,74,16,86,66,41,27,74,74,41,65,87,8,81,35,1
81,26,7,1,37,58,75,14,9,35,11,1,91,68,60,14,95,16,44,1
69,11,46,70,18,90,6,58,39,7,7,91,59,40,16,73,63,9,18,1
76,12,57,49,91,55,34,55,7,74,85,73,18,10,19,38,96,7,70,0
27,43,82,29,23,23,68,88,64,94,16,96,79,28,93,28,52,60,78,1
92,23,33,92,78,22,19,98,68,9,65,29,12,30,21,82,5,50,43,0
79,33,20,21,21,98,7,15,21,10,73,27,25,100,74,62,53,15,89,0
35,26,58,14,20,61,87,82,42,92,53,66,7,17,30,44,99,84,27,1
75,31,88,35,65,29,30,97,48,14,23,93,3,87,81,30,21,75,27,1
11,100,68,81,98,6,47,65,6,42,2,91,98,9,18,38,66,50,10,0
21,35,90,4,75,25,100,37,36,97,27,57,49,49,37,10,89,40,89,0
62,43,21,58,94,64,41,73,82,25,2,37,6,62,35,59,12,60,77,1
33,90,56,99,85,3,38,55,98,65,25,34,55,54,87,30,29,58,48,0
59,13,92,53,65,22,36,36,27,61,65,40,87,64,61,49,88,99,51,1
20,10,80,73,15,47,100,38,40,21,36,2,62,40,65,71,92,59,63,0
80,26,43,99,34,13,86,73,75,18,20,69,99,14,11,100,98,66,70,1
93,41,33,8,42,25,41,43,94,4,59,29,9,83,100,19,46,21,19,0
45,18,70,58,57,17,5,71,78,42,57,99,4,5,53,66,1,82,5,1
75,69,63,37,40,7,14,79,43,1,89,47,69,22,30,14,34,5,98,1
22,43,36,1,94,48,95,43,74,95,92,64,71,89,16,50,78,71,83,1
22,75,96,42,47,14,95,33,97,70,76,42,66,35,24,65,89,100,5,1
17,71,95,35,62,53,19,55,69,6,55,99,20,32,97,43,87,47,40,1
98,51,57,81,66,66,58,63,87,70,96,4,18,78,58,99,54,53,57,1
77,64,43,8,22,68,92,30,4,53,59,4,27,39,18,19,45,99,22,1
97,83,80,63,5,64,39,55,87,78,96,92,21,96,65,2,63,98,20,0
18,58,59,15,26,59,74,44,81,27,27,79,36,72,95,17,2,59,35,0
83,53,64,97,55,38,73,35,28,64,50,80,10,89,56,28,50,69,94,1
82,13,16,86,10,8,85,6,1,36,55,23,12,69,81,16,22,80,46,0
81,17,82,21,63,48,66,39,46,100,64,43,54,85,95,40,78,54,82,1
28,13,71,70,49,80,18,87,11,41,75,74,31,23,86,75,37,78,53,1
31,60,97,79,57,23,80,66,17,20,83,97,78,34,8,93,41,74,62,0
98,10,79,6,18,44,30,48,14,90,52,78,47,24,42,82,2,98,20,1
6,77,24,66,46,18,54,54,23,47,77,83,10,80,93,80,53,79,57,0
63,10,22,78,57,17,48,5,43,75,68,84,50,74,43,11,30,68,60,0
83,75,31,44,25,78,23,46,75,59,87,21,30,1,14,21,22,13,9,0
91,69,90,66,64,40,28,35,94,36,67,67,53,100,88,38,25,27,11,1
79,21,32,68,76,44,61,64,47,71,10,63,1,58,26,28,62,14,69,1
3,98,72,11,48,91,75,87,17,52,47,69,11,47,89,28,85,24,24,1
26,20,18,68,32,92,50,17,10,81,66,28,74,13,46,72,40,33,50,0
73,35,35,3,76,39,8,41,31,69,81,9,8,43,42,37,45,40,57,0
26,92,48,25,35,90,93,66,59,8,73,22,100,49,7,3,76,3,26,0
71,2,14,84,72,60,4,41,44,15,25,78,83,28,60,98,82,56,62,0
1,12,33,41,14,4,87,71,14,23,21,77,83,29,27,18,57,61,19,1
31,94,32,70,13,23,65,14,30,60,70,7,57,70,92,67,44,88,50,1
54,92,69,76,4,62,35,49,16,38,100,56,65,25,83,71,88,24,64,0
15,30,17,60,27,91,13,57,26,26,99,67,52,64,58,27,76,17,28,1
70,25,9,85,48,6,60,32,69,81,71,78,95,65,87,43,65,57,67,1
4,91,90,35,75,43,10,74,10,23,60,1,54,91,67,42,77,42,83,0
64,69,34,26,23,32,58,61,7,60,37,63,2,69,9,88,54,74,84,1
1,6,9,61,94,92,44,34,70,7,88,20,70,4,46,65,67,33,76,0
38,91,100,91,42,90,100,37,72,31,74,49,28,33,98,65,74,3,75,0
12,4,77,46,93,58,16,42,77,69,50,63,71,98,4,75,28,85,34,1
20,61,13,44,35,70,53,18,60,54,65,46,98,40,90,46,51,72,3,1
13,56,50,56,30,87,71,60,73,51,49,35,88,75,3,5,92,21,39,1
9,91,71,89,19,89,92,100,97,73,3,26,63,29,77,44,58,95,6,1
77,67,47,11,16,46,35,93,96,20,93,67,99,73,66,32,7,83,3,1
42,75,79,15,44,13,82,8,62,29,44,5,56,91,94,62,18,87,65,0
78,18,93,20,88,21,75,63,95,39,26,36,22,43,70,43,8,41,25,1
82,89,94,89,16,57,60,42,93,29,6,21,56,38,2,88,30,55,80,0
52,15,74,57,18,72,96,63,3,16,53,16,79,48,97,21,65,75,18,1
67,97,48,78,88,95,97,10,34,46,59,87,26,43,4,43,54,27,44,0
22,31,63,97,34,71,56,100,43,76,51,44,5,94,20,9,49,84,75,1
7,53,94,48,21,46,19,7,48,84,40,41,39,5,61,83,84,2,55,0
52,4,65,77,62,45,27,9,75,57,60,70,61,42,16,95,42,24,82,1
96,78,99,78,90,55,16,86,69,40,21,59,40,59,82,21,14,1,78,0
78,44,28,35,10,66,86,74,98,58,70,41,21,94,25,79,26,23,83,1
71,11,52,37,72,90,17,85,57,64,44,29,9,39,79,3,21,31,23,1
29,38,25,21,93,53,82,96,75,74,73,16,57,63,28,57,96,95,3,0
29,98,48,1,85,30,16,13,38,95,88,32,22,61,91,81,79,13,75,0
87,76,69,15,11,95,39,30,82,30,62,14,85,9,57,80,33,39,61,0
84,59,55,94,6,27,13,46,31,78,95,69,45,26,81,1,87,17,74,1
11,41,37,73,58,19,69,31,11,94,46,22,95,11,93,39,55,35,28,0
59,72,15,91,21,17,45,62,82,29,82,27,11,71,14,6,39,52,82,1
72,42,28,33,77,16,51,94,68,80,73,34,75,17,17,84,75,60,95,0
22,56,72,59,61,31,100,41,8,4,96,44,100,44,33,33,67,54,73,0
5,70,10,85,37,23,70,89,63,100,58,14,8,1,75,96,5,100,55,0
47,79,70,89,97,68,44,70,53,73,49,17,84,62,2,42,62,4,40,0
9,65,33,10,35,9,47,64,92,41,57,79,47,77,80,72,24,6,51,0
52,25,11,33,56,54,66,14,31,54,21,48,69,1,59,14,19,45,78,0
5,45,90,99,25,11,29,17,18,35,22,50,8,1,82,43,5,58,71,0
19,80,76,100,83,95,5,51,33,65,90,55,24,14,2,40,82,32,7,0
77,36,45,11,16,79,54,19,92,43,63,63,29,51,25,48,100,90,47,0
54,3,82,80,51,99,61,99,53,52,26,96,41,55,82,97,27,72,64,1
33,79,80,62,97,96,81,63,83,25,6,62,31,77,95,86,20,45,11,0
68,68,74,75,19,9,87,10,61,22,4,98,26,62,40,15,2,71,42,1
66,21,100,50,37,11,19,92,86,8,13,36,61,29,55,61,13,13,44,1
37,77,23,59,58,51,35,71,71,38,35,89,53,22,47,12,92,78,49,1
27,5,28,77,69,56,38,55,92,28,25,56,98,62,57,3,16,12,28,1
13,21,28,12,62,91,62,84,87,2,4,55,31,14,66,50,88,80,89,0
11,73,36,90,66,94,24,30,53,68,90,70,9,57,30,52,62,29,39,1
91,40,55,1,49,33,61,77,100,71,14,73,8,94,16,21,35,31,66,0
21,71,50,78,34,3,72,43,56,35,53,61,46,93,70,68,86,65,58,1
44,79,64,32,23,71,79,97,56,97,97,18,9,89,54,30,4,65,55,0
5,11,13,24,10,5,97,33,21,35,49,63,9,13,3,47,80,73,3,0
69,30,23,20,74,92,2,69,26,1,50,53,77,13,44,10,48,57,94,0
57,45,66,7,91,81,52,14,58,78,48,68,32,100,64,35,52,36,84,1
68,61,33,33,11,80,7,24,73,47,53,92,17,47,98,47,99,100,78,0
44,8,42,11,23,37,87,44,85,68,78,47,69,91,71,30,28,78,56,0
38,69,29,84,86,31,85,51,22,97,78,79,62,1,54,76,41,42,51,0
34,79,72,84,81,90,71,62,73,11,25,76,71,93,44,14,76,12,55,0
12,5,5,64,62,42,92,9,48,53,7,97,65,85,79,92,97,30,58,1
63,58,73,33,81,68,17,6,39,18,32,28,31,2,73,36,41,2,10,1
53,17,16,26,97,8,81,4,100,3,59,61,72,45,53,40,71,92,75,0
6,75,54,63,80,59,24,90,7,28,88,51,57,55,100,96,83,55,41,1
11,84,87,53,90,20,90,8,92,68,76,70,47,19,60,45,91,6,32,0
1,28,83,81,4,42,16,95,70,66,5,51,73,52,8,77,70,67,86,1
100,2,78,94,29,48,46,9,50,15,63,51,83,48,64,15,63,29,64,0
12,24,39,67,49,77,7,48,69,54,20,18,21,12,37,64,5,96,86,1
73,79,46,48,17,72,7,15,16,4,96,16,71,83,45,72,56,100,56,0
96,2,74,14,8,86,96,6,9,89,33,73,74,18,39,2,35,38,89,1
11,88,17,7,5,91,7,12,18,96,54,12,40,91,4,79,50,35,36,1
96,7,16,23,6,70,93,61,53,47,90,61,37,42,60,52,57,34,4,0
13,16,53,1,47,32,47,36,6,76,84,94,80,80,2,65,28,16,70,0
35,14,47,29,55,14,53,80,39,24,47,74,81,43,75,58,33,62,21,0
19,61,89,48,38,33,88,72,63,92,38,70,89,39,81,38,92,99,71,0
87,25,45,54,96,63,91,32,28,19,60,35,15,24,80,72,81,27,90,1
62,94,64,15,73,2,12,41,16,88,51,34,21,40,77,24,67,83,80,0
43,36,3,91,59,17,76,51,29,36,21,5,96,80,74,91,71,22,91,0
19,22,86,90,62,53,71,14,65,67,83,86,46,39,46,23,98,94,42,1
23,24,15,20,82,3,55,42,75,85,71,50,62,86,4,98,51,13,88,1
94,29,14,14,93,51,60,35,42,21,82,1,75,35,68,36,75,17,15,0
